,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1063,[B Sc Information Technology],[JSE],"[.NET C# Developer,Microsoft Senior BI Developer]",[],Senior Developer C#,"[Senior Business Developement Analyst,Business Development Analyst]","[.NET C#,vb .NET,financial instrument valuations,Excel,sql]",1064
1064,"[Visual Basic 6,A+ Technical certificate]","[Fundi Interior Systems,Meditek Systems,Milbloem 16,Unlimited Building Supplies]","[IT Manager,Software Consultant,IT Developer]",[Technical Assistant / Developer],Director,"[IT Manager,IT Administrator]","[MAC OS,Networking,SQL,Windows,Javascript,POS,Accounting,Business Management,MYSQL,ERP,PHP,CRM]",1065
1065,"[B - Tech in Electrical Engineering,National Diploma in Electrical Engineering]","[Educational Preparatory Centre,Marksman Trainer,Mernok Elekronic,North Park Telecoms,Tshwane University of Technology (Tut)]","[Electronic Engineer,Embedded Engineer,Electronics Technician,Electronic]","[Junior Electronics Systems Developer,P2 Trainee,P1 Trainee]",Electronic Technologist,"[Lab Assistant,Electronic Technician]","[Schematic and PCB development,Embedded Design,C Programming,Surface Mount,Electronics Development,SMD PCB Repairs,Production Technician,App Inventor 2,C# Development]",1066
1066,"[ICDL,Life Skills,Mcad.Net,B.Sc Computer Science,Computer Literacty]","[Redi Solutions,State Information Technology Agency]",[],[],Software Developer,[Web Developer],"[Html,Microsoft Word,Ms Access 2000/2003/Xp,Microsoft Sql Server 2000,C#.Net,Ado.Net,Asp.Net,Javascript,Cascading Style Sheets,Dream Weaver And Fireworks,Mysql,XML,Dhtml,Uml (Rational Rose C++),Php Scripts]",1067
1067,[ND Information Technology],"[Flowcentric,The Empire Holding Group,Thinkroom]","[C# Developer,SQL Database Administrator,SQL Developer]",[],Web and SQL developer,"[Database Developer,Solution Developer]","[SQL developing,Software deceloper,C#,AngularJS,JQuery,CSS,Bootsrep,MVC]",1068
1068,[BSc IT Software Engineering],[Gijimaast],"[.NET Developer,Software Engineer C#]",[],Application Developer,[],"[SOAP,C#.NET,SSRS,IDENTITY AUTHENTICATION,Javascript,JSON,Jquery,ENTITY FRAMWORK,ASP.NET,VB.NET,VISUAL STUDIO IDENTITY FRAMWORK,LDAP AUTHENTICATION,SYSTEMS INTEGRATION,CSS3,HTML5,BOOTSTRAP]",1069
1069,"[MSc Aeronautical Engineering,Requirements Analysis & Specification Writing,ISO 9001:2008 Internal and Supplier Auditor Training,Aircraft Certification Specialty and Changed Product Rule,B.Eng Electronics]","[ATNS,Denel Dynamics,South African Breweries,South African Civil Aviation Authority]",[Senior Systems Engineer],"[Certification Engineer,Software Developer]",Systems Engineer,"[Control & Automation Engineer,Operations Management]","[Microsoft Office,Project Management,Planning,Data Analysis,Management,Budgeting,Algorithm Development]",1070
1070,"[Bachelor Of Technology(Computer Science),Intermediate(10+2),High School/Grade 10(Matric)]","[Acuvate Software PVT,Code Fusion,HCL India,HCL Technologies, India,Raybuisness Technologies,Sun International,Thomsonreuters]","[SharePoint Consultant,Senior .Net Developer,C# Developer,Silverlight Developer,ASP.Net Developer,C# Developer,Silverlight Developer,Share point Consultant,ASP.Net Developer]","[.NET Developer,.NET Developer,Software Engineer,Software Engineer]",Senior C# Developer,"[Senior Sharepoint Developer,Senior Analyst Programmer]","[Sharepoint 2010,AngularJS,SSIS,C#,Asp .Net(2.0,3.5,4.0),C#(2.0,3.5,4.0),Share Point 2007/2010,Msbi,Sharepoint 2013,TFS,VFS,Wcf 4.0,Sharepoint Designer 2010/2013,Silverlight 4.0,Microsoft Reports,Crystal Reports]",1071
1071,"[MCSD,Diploma]","[Department of CoGHSTA,Khutso IT solution,TUT]","[Software Developer,Database Administrator,C# Developer,Junior Developer,Web Developer,PHP Web Developer,Junior PHP Developer,PHP Developer]",[],System Developer,"[Developer,Students Mentor]","[Technical skills,Programming skills,Database management,good verbal skills,typng skills,Technical frameworks,Compute literate,Good communication skills,interpersonal skills]",1072
1072,[Masters Of Computers],"[Dimension Data,Fed Ex,Solar It solutions,Wipro Technologies]","[.NET Developer,C#.NET Developer,ASP.NET Developer,Web Developer]",[.NET Developer],.NET Developer,"[.NET Developer,.NET Developer]","[sql server,C#,MVC,Anguler JS,AJAX,Web Services,WCF,WPF,HTML/DHTML,XML,Silver Light,ASP .NET,ASP,SharePoint and MVC.]",1073
1073,"[NDIP: IT (Web Application and Development),Grade 12]","[Business Connexion,Mict / IBM]",[Integration Developer],[],Junior Software Developer,[Internship],"[DataPower Appliance.,Web Services,XSD,SQL,XML,Java (Java SE Java EE),XSLT,IBM Integration Tool,ESQL,JavaScript,Weblogi,Python,Toad,GlassFish,MVC]",1074
1074,"[Certified Scrum Master,B.IT]","[Bolton?s GPS Warehouse,Cybernetic Software Development,FTB Solutions,King Price Insurance,Think Tank Design Agency]",[Senior C# Developer],"[Software Developer,Junior Web Developer,Student Developer]",Development Team Leader,"[Development Contractor,Senior Software Developer]","[JQuery,OOP,Knockout,Scrum Master,C#,NServiceBus,Sql Server,Javascript,T-SQL,NHibernate,MVC.NET 5,Code Katas,Code Reviews,Technical Lead,Typescript,Operational Management,SQL Reporting,WPF,Team Lead,Training,WCF,SSIS,Angular,MySQL,Durandal,SignalR,PHP,C++,Java]",1075
1075,"[Advanced windows Store Apps using HTML5 with JavaScript and CSS3,WINDOWS STORE APPS USING HTML5,Information Technology,Information Technology,Grade12]","[Avanade,Conekt Business Group,ITeamMobile,Meniko People Development,Microsoft]",[software developer],"[Junior Software Developer,JNR Software Developer]",Junior Software Developer,"[Software Developer,Junior Software Developer]","[PL/SQL developer,C# developer,SQL developer,Css,angulerjs,Javascript,HTML,C#,ASP]",1076
1076,"[National Diploma Information Technology,IT National Certificate,Senior Certificate]","[Media24,Scaw Metals Group,Synergize,Syntell', u""Woolworth's Head Office""]","[Snr Software Developer,junior programmer]","[SEO Inter,System Supporter]",Software Developer,"[Software Developer,Software Developer]","[Communication,.NET,java,javascript,sql,C#,jquery,Java, Cobol, Vb.Net, C++, Sql,Enterprinuership Skill,Tech,Data Analysis,SEO,Php,Javascript,Html, Asp.Net,PHP,Project Management]",1077
1077,"[70-461 Certification,BTECH : Information Technology,Information Technology,grade 12/matric]","[Business Connexion (BCX),Business Connexion \\ Telkom,DSNS]","[VB .NET programmer,java,web designer (html,xml,java,javascript),databases(sql,oracle); analysis (information systems),sql administration,databases(sql,oracle); analysis (information systems)]",[],SQL Database Administrator,"[Junior Database Administrator,Developer VB Developer]","[trouble shooting computer problems,CRM,Microsoft SQL Management,Adobe Master Collection,Microsoft Office Package,Microsoftpackage,adobe aster collection,Microsoft Visual Studio,m,database maintenance,sql management,developing,testing,programming,mysql,word,outlook,excel,dreamweaver,photoshop,Html,Xhtml,Xml,sql,C#,Oracle,Java,Javascript,debtors and creditors,processing documents,faxing,data capturing,filing,general admin skills]",1078
1078,[Matric],"[Discovery Life,Identification Verification Systems]",[],[],Oracle Developer,[PLSQL Developer],"[Oracle PLSQL,css,html,C++,C#]",1079
1079,"[Bsc In Computing,MSCD Sharepoint Applications,Microsoft Certified It Professional (Mcitp) Pro: Microsoft Sharepoint 2010, Administrator,Fundamentals Of Xaml And Expression Blend,Windows Foundation,NQF 5 Level Systems Development,Windows Presentation Foundation,Diploma In System Analysis And Design,Microcomputer Technology Part 1 And Part2,Advanced Level]","[City of Cape Town,Engen Oil,Intervate Solutions Services]",[SharePoint Developer / Administration],[],Sharepoint .NET Developer,"[Technology Consultant,Sharepoint & C# Developer]","[Sharepoint Configuration And Administration,C#.Net,Sharepoint Development,CSS,HMTL,JavaScript,JQuery,Powershell,T-Sql Transactions]",1080
1080,"[Financial Economics & Investment Management,Financial Management]","[Bluubin Financial Services,Cansa,Long Horn Grill,Pearl Construction,Self Employed,University of Free State]",[Financial Analyst],"[Purchasing Consultant,Day Trader,Financial Adviser,Tutor & Examination Marker]",Web Developer,"[Financial Consultant,Front of House Manager]","[Accounting,Data Analysis,PHP,CSS,HTML]",1081
1081,"[National Diploma -Software development,Certificate in Computer Engineering,Matric]","[Bambanani Medical Centre,Beverly Hills Institute,Ohlanga Cash & Carry,Realmcom SA,Self-Employed,Tshwane University of Technology]","[Front-End Developer,C# Web Developer]","[GRV Clerk,Computer Lecturer,Student Assistant]",Freelance Web Developer,"[In-House Web Developer,Senior Web Developer]","[ASP.Net,SQL,C#,Adaptive/Responsive Design,Web Application Architecture,User experience (UX) design,API Integration,Javascript,CSS,HTML]",1082
1082,"[BSC(Hons) Computing,National Diploma in Computer Studies]","[Monsi Logistics,Providence software Solutions South Africa,ZAMBIA NATIONAL COMMERCIAL BANK]","[MS SQL DBA,SQL DEVELOPER]",[],MS SQL DBA / DEVELOPER,"[SQL DEVELOPER / DBA,SQL DBA]","[SSRS,ETL,T-SQL,Databases,SQL,SISS,Datawarehousing,Database fine tunining,ITIL\xae  Course Trained,Microsoft SQL Server,ERD modeling,UML,Use Case building,people managemet,Networking]",1083
1083,"[A-Levels,Information Technology,Std 9 (Moved To Uk To Do A-Levels)]","[Inxcom,Persuasion LAB Marketing (Datingbuzz)]",[],[],Web Developer,[Junior Web Developer],[Photoshop],1084
1084,[Ndip Electronic Engineering],"[Brondal Park,EMS Technik,M-Tek,Onecell]",[],[Project Manager and Foreman],Hardware Software Developer Production Manager.,"[Senior Electronic Technician,Developer Technician]","[Pcb Design,Interpersonal,Procurement,C/C++,Delphi,Management]",1085
1085,[Bsc Computer Science And Information Technology],"[Adcheck,BR Promotions,Cargo Carriers,Midrand Graduate Institute,Pathfinder Logistic Solutions,Transformer Test Instruments]",[],"[Part Time Lecturer,Developer,Promoter]",Technical Director,"[Developer,Technical Consultant]","[SQL,Vba,Java,Java Ee,Java Me]",1086
1086,[Information Technology (Software Development)],[Octagon Business Solutions],"[IT Software Developer,SQL,Java Developer,IT Tech,Android Developer,C#,JSON]",[],Junior Software Developer,[],"[SQL,Microsoft office,Android,Computer tech,C# (Major),Microsoft Access Database,JAVA,SQLite and SqlServer,Working Fast,Getting things done,Software Analysis,Programme Debugging,management,interaction,communication]",1087
1087,"[End-User Computing,CompuTIA A+ Certification,National Certificate IT System Development,Diploma Information Technology]","[Accenture Technology Solution,Malamulele Central Circuit]","[IT Support,IT Admin,IT Technician and Desktop Support,Junior IT Technician,Software Tester,Java Developer,Junior Java Developer,Software Consultant]",[],Junior Java Developer,[IT Support/Data Capture],"[IT Consulted,JAVA,Desktop Support,VB .NET programing,Networking,Microsoft Office,Web Development,Software testing,Eclipse,IT Support,Programming,SAP,JavaScript,Software Consultant,HTML,Technical Support,SoapUI,CSS,Software Testing,API Store,Confluence]",1088
1088,[B.Sc Computer Science],"[4cit,Computer Science Corporation]",[],[],Oracle DBA Developer,"[Junior Core Oracle DBA,Intern]","[Unix,Backup,Customer Relations,Database Administration,Forms,Migration,Oracle Applications,Oracle Pl/Sql,Oracle Version 6,Oracle Version 8,Rdbms,Scheduling,Shell Scripting,Software Installation,sql,Tables,awk,Solaris]",1089
1089,[Ba Communication],"[Compuways,IBD Click,SA Vitamins]",[Graphic Designer | Web Developer | Brand Manager | Social Media],[],Graphic Designer | Brand Manager | Web Developer | Social Media Management,"[Social Media Manager,IT Recruiter]","[Marketing,Customer Service,Photoshop,Copy Writing,Brand Management,InDesign,Branding,Graphic Design,Wordpress,Social Media Management,Illustrator,Project Management]",1090
1090,[National Diploma In Information Technology],"[City of Cape Town,Fsiu,Glasshouse,L.A Refrigeration,Maxxor Business Solution,Movigo Technolgies,Paradigm Solutions,Self Employed]","[Snr Php developer,php developer,php developer]","[Paradigm Solutions,Junior PHP Developer,Junior C#.Dot NET Developer,General Assistant,Computer Servicing]",Senior Software Systems Architect Technical Team Lead,"[Senior Software Archietech,Mid Senior Scripting Developer]",[],1091
1091,"[Java Certification,Master Of Computer Applications,Bachelor Of Computer Science]","[First National Bank,MFS Africa,Standard Bank]",[Java Developer],[],Java Developer,"[Java Developer,Java Developer]","[Java,J2ee,Xml,Webservies,Mysql,Oracle,Sql,Jsp,Jfs,Html, Jquerry,Scriptis...Etc]",1092
1092,"[Business Focused Project Management,Advance Visual Studio  .NET Technical Diploma]","[CEB Maintenance,Cura Software Solutions,Izazi Solutions,MAM Wholesalers,Softside Development,TSS]",[Operations/Delivery Manager/Lead],"[Software Engineer,Site Manager,Web Developer Programmer,Assistant Manager]",Implementations Solution Manager and Senior Business Analyst,"[Software Network Engineer,Support Developer]","[Hardware Support,Software Support,Implementations Manager,Implementations,Team Lead,Business Analyst,Risk Management,Networking,Project Management,Web Development,Programming]",1093
1093,"[Nd:Information Technology,High School Education]","[Accenture,Durban University of Technology]",[],[],Software Developer Intern,[Computer Lab Technician],[Programming],1094
1094,[Meng (Electronic and Electirical Engineering)],"[Council for Scientific & Industrial Research (CSIR),ECN Telecoms,Mbewenhle Solutions (Pty) Ltd.]","[C++ developer,python,linux,data scientist]",[Network Engineer],Software Developer Trainee,"[Research,Research Engineer Software]","[Latex,javascript,Java ME),Python,and Microsoft Windows. \u2022 Programming Languages: C,Bash/Shell,Java (J2SE,HTML. \u2022 Databases: PostgreSQL and MySQL. \u2022 Kernel development for Linux and *BSD based Operating Systems. \u2022 Computer and mobile networking.,Linux,\u2022 Multi-core architecture and distributed systems design and development. \u2022 Operating Systems: OpenBSD,NetBSD]",1095
1095,"[ITIL 2011 Edition Foundation,Prince2,Master Business Administation Foundation (Mba(Cm)),Delphi To C# Conversion,Microsoft Visual Studio,Microsoft  C#,Advanced Project Management,Microsoft Certified Systems Engineer(Mcse),Microsoft Certified Professional + Internet(Mcp +,Microsoft Certified Professional(Mcp ),Microcontrollers Assemble Software,N4 Industrial Electronics,Senior Certificate]","[MR Price Group,UEC Technology]","[Project Manager,IT Manager,Account Manager,IT Manager,Account Manager]",[Senior Technical Support],Project Manager IT,"[Business Intelligence Developer,Project Engineer]","[Immensely enjoy navigating all aspects of complex projects.,Driven by new challenges and desire to be successful in all endeavors.,Architect tailor \u2013 made customer solution build relationships and communicate solution strategy and product offerings and provide technical expertise and support and training to sales and customers.,An adaptable and successful IT professional with experience across multiple and varied projects in the IT industry.,Solutions \u2013 driven IT Professional with extensive experience in Project Management and designing/implementing IT solutions.,Articulate communicator who can fluently speak the languages of both people and technology blending technical expertise with exceptional interpersonal skills while interacting effectively with customers - sales - marketing and technical/engineering teams.,Enjoys working in a varied role with an element of business analysis - project management and end user coordination.,Extensive computer software implementation experience with both single and multi site companies.,Customer \u2013 focused highly organized self \u2013 starter with effective customer \u2013 service skills and demonstrated ability to manage technical aspects and pre \u2013 sales projects.,Decisive action oriented and results \u2013 focused IT Professional offering over 20 years of experience in the IT industry.,Resourceful and creative problem \u2013 solver with proven aptitude to analyze and translate complex customer requirements and business problems and design/implement innovative customer solutions.,Risk Management,Systems Development,Project Reporting,PMBOK,Agile,Project Planning,Resource Management,Staff Management,Software Development,Product Development,Prince 2,Process Improvement,Manage Project Quality,Change Management]",1096
